0,0,0,0,0
1,1,1,1,1
2,2,2,2,2
2,2,2,1,1
3,3,3,1,1
2,1,1,3,2
2,2,2,1,2
1,1,1,2,2
3,4,5,3,2
3,3,3,2,2
2,2,2,4,2
5,3,5,2,1
3,2,3,2,2
3,2,3,3,2
2,5,5,1,3
2,3,3,4,2
4,3,4,3,2
3,2,3,3,5
2,2,2,2,2
7,4,5,3,2
3,2,3,2,2
2,2,3,2,2
3,2,2,4,2
2,2,2,2,2
2,2,3,2,2
2,2,2,2,4
2,2,2,2,4
3,2,3,3,3
4,3,3,2,3
2,2,2,3,3
12,8,8,2,2
3,2,2,3,3
2,2,2,2,2
3,2,2,2,3
2,2,3,3,3
3,4,5,3,3
3,2,2,3,3
3,4,4,2,2
2,2,3,3,3
2,1,2,1,3
2,2,2,3,3
8,5,6,3,3
2,2,3,2,2
7,4,5,4,2
2,2,2,3,3
3,3,3,4,3
4,3,3,2,2
3,3,4,2,2
2,3,3,2,4
6,3,3,3,4
3,2,2,2,3
3,2,2,2,2
3,2,3,2,4
2,2,1,3,3
4,3,3,2,3
5,3,6,6,2
3,2,2,2,4
7,4,6,2,3
2,3,2,6,2
2,2,2,3,3
3,2,2,3,4
3,2,2,8,2
2,3,3,3,3
2,2,2,3,2
2,2,2,3,4
3,4,4,3,3
7,5,5,3,3
2,2,2,3,7
3,3,2,3,3
4,7,8,3,6
5,4,5,2,5
4,5,8,2,3
5,5,7,4,5
4,3,3,3,3
6,5,5,5,3
4,2,3,3,3
2,2,2,3,2
5,9,7,3,6
3,3,3,3,2
4,3,3,3,3
4,3,3,3,4
5,4,6,2,2
2,2,2,4,3
3,2,2,3,2
8,5,5,2,3
2,1,1,9,6
17,12,12,3,2
3,2,2,2,3
2,3,3,4,3
2,2,2,3,5
3,2,2,4,2
3,2,2,2,4
4,4,5,4,2
6,5,4,2,2
3,3,3,2,2
5,6,6,2,3
5,4,4,3,3
3,2,3,2,3
11,7,7,3,3
3,2,2,2,3
3,3,2,3,3
3,2,2,4,3
6,12,9,3,8
4,3,3,3,3
3,3,4,4,5
4,4,5,2,3
4,3,5,4,3
2,2,2,4,3
4,4,4,4,3
22,14,16,2,3
3,3,3,2,2
4,3,5,2,3
5,3,3,4,3
3,3,3,3,6
4,4,8,4,2
3,3,3,3,2
21,13,10,3,3
5,4,4,4,2
3,3,2,4,5
3,3,3,2,2
5,8,7,4,7
4,3,3,5,3
3,3,3,3,5
3,3,3,4,6
2,2,2,4,4
2,2,2,3,2
4,4,5,3,4
4,3,3,5,3
4,3,3,3,5
4,4,4,5,3
3,3,4,3,7
4,4,4,3,2
9,7,9,4,3
3,2,2,3,2
4,7,5,4,3
3,2,3,5,3
9,11,17,3,4
5,6,10,3,3
6,5,5,4,3
3,3,4,4,3
13,21,25,3,3
3,3,3,3,4
3,3,3,4,4
3,2,2,4,5
3,3,3,2,3
3,3,5,3,5
10,5,10,3,3
3,2,3,3,2
3,3,3,3,2
4,3,7,4,2
4,4,4,4,3
19,10,12,2,3
3,2,4,4,6
3,3,3,4,3
4,6,8,3,3
3,2,3,3,4
15,16,13,3,4
4,5,5,4,3
3,3,3,2,3
3,4,4,3,3
2,2,2,3,3
3,2,2,4,3
3,4,4,3,4
3,3,2,4,3
3,4,5,3,2
4,3,3,3,3
4,4,4,3,5
4,6,6,3,4
2,2,3,4,3
5,8,8,11,3
3,3,3,3,3
3,3,3,5,4
20,19,15,3,4
3,2,3,3,3
2,2,2,2,2
8,9,8,4,5
10,13,11,6,3
4,3,4,5,3
2,2,3,3,4
4,2,3,3,5
16,19,18,3,3
5,4,4,4,3
3,3,3,4,4
3,3,3,3,4
3,3,4,10,4
3,3,3,3,6
3,3,3,4,3
3,3,3,5,3
3,3,4,3,7
2,2,2,3,3
33,18,18,2,3
3,3,4,2,3
11,9,11,3,3
4,2,5,3,3
5,5,5,4,3
3,3,3,7,8
4,3,4,4,3
4,3,4,3,5
5,5,7,2,4
3,2,3,5,3
3,3,4,4,3
5,3,3,3,3
7,5,7,3,4
3,3,3,4,8
2,3,3,3,5
12,12,9,4,4
4,3,3,4,4
3,4,4,5,4
4,3,4,3,2
9,7,6,5,2
5,5,6,3,3
4,4,4,6,3
4,3,3,11,3
14,15,15,6,4
4,3,3,3,3
3,3,2,3,4
14,10,10,6,3
5,4,4,4,3
2,2,3,5,3
5,6,4,5,3
3,3,3,5,5
3,3,3,3,4
9,7,8,3,5
2,2,2,3,8
8,6,9,3,2
3,3,3,3,2
4,3,4,4,3
2,2,2,8,5
3,2,2,3,6
2,3,3,3,3
12,9,12,4,3
4,3,5,4,3
4,3,4,3,4
3,3,4,2,5
3,3,3,3,5
2,2,3,2,6
5,4,4,3,3
4,4,5,4,7
4,3,3,4,3
3,3,3,3,6
3,4,4,3,3
47,25,25,4,3
6,5,8,7,3
4,3,3,4,3
5,5,6,4,3
2,2,3,4,3
2,2,2,3,3
4,3,3,4,4
3,3,3,3,3
3,3,4,4,8
5,7,8,4,3
3,2,3,2,4
3,3,3,3,3
27,17,15,2,4
3,2,2,3,3
174,96,116,4,4
99,18,11,3,3
188,39,41,3,5
139,32,4,5,3
81,94,46,5,7
88,59,64,3,4
126,33,8,3,4
92,80,4,6,4
97,39,7,5,3
70,64,5,5,3
84,32,66,5,11
52,76,33,6,7
74,64,57,3,4
67,38,60,9,3
83,42,93,4,5
42,38,4,3,4
54,41,25,4,4
124,12,22,3,3
48,27,19,2,3
59,50,5,5,4
68,13,3,3,3
46,47,64,4,3
44,50,27,5,4
40,29,24,3,5
43,69,6,5,3
79,36,5,3,2
58,26,6,3,7
60,50,21,4,4
40,27,62,3,5
43,39,21,4,3
37,22,17,3,3
47,26,20,6,2
28,34,35,2,5
31,13,20,5,4
29,30,10,7,3
33,29,6,5,6
33,18,20,3,3
35,32,28,3,3
36,18,11,5,3
30,25,28,4,5
45,51,28,4,3
30,16,24,3,4
22,23,6,6,4
28,23,3,4,3
43,24,6,3,4
,,,54,2
,,,67,3
,,,11,3
,,,20,4
,,,25,6
,,,3,4
,,,89,3
,,,70,3
,,,9,5
,,,12,5
,,,42,3
,,,7,4
,,,13,3
,,,13,5
,,,38,3
,,,6,7
,,,4,4
,,,74,4
,,,5,4
,,,3,4
,,,27,4
,,,55,3
,,,17,4
,,,20,3
,,,24,4
,,,6,3
,,,6,4
,,,18,3
,,,6,3
,,,8,3
,,,3,3
,,,20,3
,,,19,3
,,,11,4
,,,19,4
,,,9,3
,,,15,4
,,,9,2
,,,28,4
,,,6,4
,,,35,3
,,,21,5
,,,4,4
,,,4,4
,,,7,4
